Location,Check-In Location,Login Location,Medical Record Location,Order Radiology Study Location,Registration Location,Visit Location,Program Location
Botsabelo,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Motebang,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Ntsekhe,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Community,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Botsabelo ICU,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Botsabelo Hospital,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Botsabelo Halfway Home,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Botsabelo HDU,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Botsabelo OPD,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Motebang Hospital,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Motebang HDU,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Ntsekhe Hospital,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Ntsekhe HDU,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Butha-Buthe,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Leribe,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Berea,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Maseru,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Mafeteng,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Mohale's Hoek,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Quthing,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Qacha's Nek,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Thaba-Tseka,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Mokhotlong,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
